age,education,default,balance,housing,loan,contact,campaign,pdays,previous,marital_type,job_type,poutcome_type,y
58,2,0,0.032118823159125315,1,0,0,1,999,0,1,4,3,0
44,1,0,0.0004346457637025824,1,0,0,1,999,0,2,9,3,0
33,1,0,2.9975569910522925e-05,1,1,0,1,999,0,1,2,3,0
47,1,0,0.022571604142623762,1,0,0,1,999,0,1,1,3,0
33,1,0,1.4987784955261463e-05,0,0,0,1,999,0,2,1,3,0
35,2,0,0.0034621783246653976,1,0,0,1,999,0,1,4,3,0
28,2,0,0.006699539875001873,1,1,0,1,999,0,2,4,3,0
42,2,1,2.9975569910522925e-05,1,0,0,1,999,0,0,2,3,0
58,0,0,0.0018135219795866369,1,0,0,1,999,0,1,5,3,0
43,1,0,0.008887756478470047,1,0,0,1,999,0,2,9,3,0
41,1,0,0.004046701937920595,1,0,0,1,999,0,0,0,3,0
29,1,0,0.0058452361325519704,1,0,0,1,999,0,2,0,3,0
53,1,0,8.992670973156877e-05,1,0,0,1,999,0,1,9,3,0
58,1,0,0.0010641327318235637,1,0,0,1,999,0,1,9,3,0
57,1,0,0.002428021162752357,1,0,0,1,999,0,1,7,3,0
51,0,0,0.0034322027547548746,1,0,0,1,999,0,1,5,3,0
45,1,0,0.000194841204418399,1,0,0,1,999,0,2,0,3,0
57,0,0,0.000779364817673596,1,0,0,1,999,0,1,1,3,0
60,0,0,0.0008992670973156877,1,0,0,1,999,0,1,5,3,0
33,1,0,0.0,1,0,0,1,999,0,1,7,3,0
28,1,0,0.010836168522654037,1,1,0,1,999,0,1,1,3,0
56,2,0,0.01167548448014868,1,0,0,1,999,0,1,4,3,0
32,0,0,0.00034471905397101364,1,1,0,1,999,0,2,1,3,0
25,1,0,0.0007493892477630731,1,0,0,1,999,0,1,7,3,0
40,0,0,0.0,1,1,0,1,999,0,1,5,3,0
44,1,0,-0.005575456003357264,1,0,0,1,999,0,1,0,3,0
39,2,0,0.003821885163591673,1,0,0,1,999,0,2,4,3,0
52,1,0,0.0016936196999445452,1,1,0,1,999,0,1,2,3,0
46,1,0,-0.0036869950989943195,1,0,0,2,999,0,2,4,3,0
36,1,0,0.003971763013144287,1,1,0,1,999,0,2,9,3,0
57,1,0,0.012574751577464367,0,1,0,1,999,0,1,9,3,0
49,2,0,0.005665382713088833,1,0,0,1,999,0,1,4,3,0
60,1,0,0.000584523613255197,1,1,0,1,999,0,1,0,3,0
59,1,0,0.0,1,0,0,1,999,0,1,1,3,0
51,2,0,0.15939509299920565,1,0,0,1,999,0,1,4,3,0
57,1,0,0.0009442304521814721,1,0,0,1,999,0,0,9,3,0
25,1,0,-0.00010491449468683023,1,0,0,1,999,0,1,1,3,0
53,1,0,-4.4963354865784384e-05,0,0,0,1,999,0,1,9,3,0
36,1,0,0.0075838191873623,1,0,0,1,999,0,0,0,3,0
37,1,0,0.0,1,0,0,1,999,0,2,0,3,0
44,1,0,0.03875841189430614,1,0,0,1,999,0,0,7,3,0
50,1,0,0.0007344014628078116,1,0,0,2,999,0,1,4,3,0
60,1,0,0.001558729635347192,1,0,0,1,999,0,1,1,3,0
54,1,0,0.007928538241333313,1,0,0,1,999,0,1,5,3,0
58,1,0,0.0014388273557051003,1,0,0,1,999,0,1,5,3,0
36,0,0,-0.00256291122734971,1,0,0,1,999,0,2,0,3,0
58,2,0,-0.005455553723715172,1,0,0,1,999,0,1,6,3,0
44,1,0,0.0,1,0,0,2,999,0,1,9,3,0
55,1,0,0.0,0,0,0,1,999,0,0,9,3,0
29,2,0,0.0,1,0,0,1,999,0,2,4,3,0
54,1,0,0.019349230377242548,1,0,0,1,999,0,1,1,3,0
48,2,0,-0.003657019529083797,1,0,0,1,999,0,0,4,3,0
32,2,0,0.0,1,0,0,1,999,0,1,4,3,0
42,1,0,-0.001139071656599871,1,0,0,1,999,0,2,0,3,0
24,1,0,-0.0015437418503919307,1,1,0,1,999,0,2,9,3,0
38,2,0,0.0036420317441285353,0,1,0,1,999,0,2,2,3,0
38,2,0,0.00635482082103086,1,0,0,1,999,0,2,4,3,0
47,1,0,0.004586262196310007,1,0,0,1,999,0,1,1,3,0
40,1,0,0.0003597068389262751,1,0,0,1,999,0,2,1,3,0
46,0,0,0.002682813506991802,1,0,0,1,999,0,1,7,3,0
32,2,0,0.0,1,0,0,1,999,0,1,0,3,0
53,1,0,0.014822919320753586,1,0,0,1,999,0,0,9,3,0
57,0,0,0.003731958453860104,1,0,0,1,999,0,1,1,3,0
33,1,0,0.011840350114656555,1,0,0,1,999,0,1,7,3,0
49,1,0,0.002308118883110265,1,0,0,1,999,0,1,1,3,0
51,2,0,0.09787023575785735,1,0,0,1,999,0,1,4,3,0
60,2,0,0.0014987784955261462,0,0,0,1,999,0,1,5,3,0
59,2,0,0.0008842793123604262,1,0,0,1,999,0,0,4,3,0
55,1,0,0.018060280871090063,1,0,0,2,999,0,1,9,3,0
35,1,0,0.18319569550816084,1,1,0,1,999,0,2,1,3,0
57,1,0,0.08895250370947677,1,1,0,1,999,0,1,1,3,0
31,1,0,0.00037469462388153656,1,1,0,1,999,0,1,7,3,0
54,1,0,0.004226555357383732,1,1,0,1,999,0,1,4,3,0
55,0,0,0.00034471905397101364,1,0,0,1,999,0,1,1,3,0
43,1,0,0.02903133945834145,1,0,0,1,999,0,1,9,3,0
53,1,0,0.005755309422820401,1,0,0,1,999,0,1,9,3,0
44,1,0,0.008722890843962171,0,1,0,1,999,0,1,1,3,0
55,1,0,0.001363888430928793,0,0,0,1,999,0,0,7,3,0
49,1,0,0.0,1,1,0,1,999,0,0,7,3,0
55,1,1,1.4987784955261463e-05,1,0,0,1,999,0,0,7,3,0
45,1,0,0.0030874837007838613,1,0,0,1,999,0,2,0,3,0
47,1,0,0.0024579967326628796,0,0,0,1,999,0,0,7,3,0
42,1,0,0.01034157161913041,1,0,0,1,999,0,2,9,3,0
59,1,0,0.0351163801501776,1,0,0,1,999,0,1,0,3,1
46,2,0,0.00205332653887082,1,1,0,1,999,0,1,6,3,0
51,0,0,0.002592886797260233,1,0,0,2,999,0,1,1,3,0
56,1,0,0.0006744503229867657,0,0,0,1,999,0,1,0,3,1
41,1,0,0.019034486893182056,1,0,0,1,999,0,1,9,3,1
46,1,0,0.0002398045592841834,1,1,0,2,999,0,0,4,3,0
57,1,0,0.0072840634882570705,1,0,0,2,999,0,1,5,3,0
42,1,0,0.0007493892477630731,0,0,0,1,999,0,2,4,3,0
30,1,0,0.002278143313199742,1,1,0,2,999,0,1,9,3,0
60,1,0,0.004346457637025824,1,0,0,1,999,0,1,0,3,0
60,1,0,0.000809340387584119,1,0,0,1,999,0,1,1,3,0
57,1,0,-0.0005545480433446741,0,0,0,1,999,0,0,2,3,0
36,2,0,0.0015137662804814076,1,1,0,1,999,0,1,4,3,0
55,1,0,0.00574032163786514,0,0,0,1,999,0,1,1,3,0
60,2,0,0.0012140105813761785,1,0,0,1,999,0,1,5,3,0
39,1,0,0.0,1,0,0,1,999,0,1,9,3,0
46,2,0,0.0034322027547548746,1,0,0,1,999,0,1,4,3,0
44,1,0,-0.010101767059846225,1,0,0,1,999,0,1,1,3,0
53,0,0,0.0013489006459735315,0,0,0,1,999,0,1,1,3,0
52,0,0,0.0019184364742734672,1,0,0,1,999,0,1,1,3,0
59,0,0,0.002682813506991802,1,0,0,3,999,0,1,1,3,0
27,2,0,0.0,1,0,0,1,999,0,2,9,3,0
44,1,0,0.000809340387584119,1,0,0,1,999,0,1,1,3,0
47,2,0,0.002263155528244481,1,0,0,1,999,0,1,9,3,0
34,1,0,0.0009142548822709492,0,1,0,1,999,0,1,0,3,0
59,1,0,0.00044963354865784383,1,0,0,1,999,0,2,5,3,0
45,2,0,0.007838611531601744,1,0,0,2,999,0,1,4,3,0
29,1,0,0.0004646213336131053,1,0,0,1,999,0,0,7,3,0
46,1,0,0.0011840350114656554,0,0,0,1,999,0,0,9,3,0
56,0,0,-0.0005095846884788897,1,1,0,2,999,0,1,6,3,0
36,0,0,0.006714527659957135,1,0,0,1,999,0,1,1,3,0
59,0,0,0.0012140105813761785,1,0,0,1,999,0,0,5,3,0
44,1,0,0.0021582410335576506,1,0,0,2,999,0,1,1,3,0
